Mon Jan 22 00:00:00 CET 2018,B07FWWYWV,680.0
Mon Jan 22 00:00:00 CET 2018,B07FWYTUR,680.0
Mon Jan 22 00:00:00 CET 2018,B07FWVVYW,680.0
Tue Jan 23 00:00:00 CET 2018,B07FWXUQY,680.0
Tue Jan 23 00:00:00 CET 2018,B07FWYWVR,550.0
Tue Jan 23 00:00:00 CET 2018,B07FWVXWR,584.0
Wed Jan 24 00:00:00 CET 2018,B07FWVYTY,984.0
Wed Jan 24 00:00:00 CET 2018,B07FWWSRT,680.0
Wed Jan 24 00:00:00 CET 2018,B07FWXUXW,680.0
Wed Jan 24 00:00:00 CET 2018,B07FWXSUY,680.0
Wed Jan 24 00:00:00 CET 2018,B07FWWBUR,680.0
Thu Jan 25 00:00:00 CET 2018,B07FWVVUU,695.0
Thu Jan 25 00:00:00 CET 2018,B07FWWXTT,695.0
Thu Jan 25 00:00:00 CET 2018,B07FWVXUY,695.0
Thu Jan 25 00:00:00 CET 2018,B07FWWYQZ,700.0
Thu Jan 25 00:00:00 CET 2018,B07FWYUYW,685.0
Thu Jan 25 00:00:00 CET 2018,B07FWYWWZ,984.0
Thu Jan 25 00:00:00 CET 2018,B07FWYWYQ,550.0
Thu Jan 25 00:00:00 CET 2018,B07FWXVTT,775.0
Thu Jan 25 00:00:00 CET 2018,B07FWXXQV,535.0
Fri Jan 26 00:00:00 CET 2018,B07FWVYQW,700.0
Fri Jan 26 00:00:00 CET 2018,B07FWXUWZ,300.0
Fri Jan 26 00:00:00 CET 2018,B07FWWUUU,700.0
Fri Jan 26 00:00:00 CET 2018,B07FWVZUR,730.0
Fri Jan 26 00:00:00 CET 2018,B07FWXVTW,700.0
Fri Jan 26 00:00:00 CET 2018,B07FWVBXW,695.0
Fri Jan 26 00:00:00 CET 2018,B07FWVVUZ,310.0
Fri Jan 26 00:00:00 CET 2018,B07FWWZXX,695.0
Sat Jan 27 00:00:00 CET 2018,B07FWXVWW,300.0
Sat Jan 27 00:00:00 CET 2018,B07FWWWWW,300.0
Sat Jan 27 00:00:00 CET 2018,B07FWXUQU,300.0
Sat Jan 27 00:00:00 CET 2018,B07FWYWTV,300.0
Sat Jan 27 00:00:00 CET 2018,B07FWXAYS,300.0
Sat Jan 27 00:00:00 CET 2018,B07FWVAVV,300.0
Sat Jan 27 00:00:00 CET 2018,B07FWXXUQ,310.0
Sat Jan 27 00:00:00 CET 2018,B07FWXVRU,550.0
Sun Jan 28 00:00:00 CET 2018,B07FWXVQU,695.0
Sun Jan 28 00:00:00 CET 2018,B07FWWTRW,695.0
Sun Jan 28 00:00:00 CET 2018,B07FWYWSS,775.0
Sun Jan 28 00:00:00 CET 2018,B07FWVYZQ,300.0
Mon Jan 29 00:00:00 CET 2018,B07FWYVYU,695.0
Tue Jan 30 00:00:00 CET 2018,B07FWVXYQ,842.0
Tue Jan 30 00:00:00 CET 2018,B07FWVVRR,390.0
Tue Jan 30 00:00:00 CET 2018,B07FWVVYQ,695.0
Wed Jan 31 00:00:00 CET 2018,B07FWXZTT,695.0
Wed Jan 31 00:00:00 CET 2018,B07FWWBZQ,1684.0
Wed Jan 31 00:00:00 CET 2018,B07FWWYRT,695.0
Wed Jan 31 00:00:00 CET 2018,B07FWXZVZ,1084.0
Thu Feb 01 00:00:00 CET 2018,B07FWXWYZ,710.0
Fri Feb 02 00:00:00 CET 2018,B07FWYVYU,695.0
Sat Feb 03 00:00:00 CET 2018,B07FWXBYY,1044.0
Sun Feb 04 00:00:00 CET 2018,B07FWXZYW,285.0
Mon Feb 05 00:00:00 CET 2018,B07FWWSYU,984.0
Mon Feb 05 00:00:00 CET 2018,B07FWVXUT,661.0
Mon Feb 05 00:00:00 CET 2018,B07FWVYWU,393.0
Tue Feb 06 00:00:00 CET 2018,B07FWXTVS,995.0
Tue Feb 06 00:00:00 CET 2018,B07FWYBZY,661.0
Tue Feb 06 00:00:00 CET 2018,B07FWXVXT,860.0
Tue Feb 06 00:00:00 CET 2018,B07FWYUST,650.0
Tue Feb 06 00:00:00 CET 2018,B07FWVYUW,730.0
Tue Feb 06 00:00:00 CET 2018,B07FWVZSV,808.0
Tue Feb 06 00:00:00 CET 2018,B07FWXAYW,808.0
Wed Feb 07 00:00:00 CET 2018,B07FWXAZV,1044.0
Wed Feb 07 00:00:00 CET 2018,B07FWYTYX,661.0
Thu Feb 08 00:00:00 CET 2018,B07FWYZXY,515.0
Thu Feb 08 00:00:00 CET 2018,B07FWYTSZ,470.0
Thu Feb 08 00:00:00 CET 2018,B07FWXYSR,470.0
Fri Feb 09 00:00:00 CET 2018,B07FWXYSQ,579.0
Fri Feb 09 00:00:00 CET 2018,B07FWXBUQ,730.0
Fri Feb 09 00:00:00 CET 2018,B07FWXYTQ,470.0
Fri Feb 09 00:00:00 CET 2018,B07FWXAQU,700.0
Fri Feb 09 00:00:00 CET 2018,B07FWVZRY,700.0
Sat Feb 10 00:00:00 CET 2018,B07FWYVYW,515.0
Sat Feb 10 00:00:00 CET 2018,B07FWVWVZ,661.0
Sat Feb 10 00:00:00 CET 2018,B07FWVVRT,995.0
Sat Feb 10 00:00:00 CET 2018,B07FWWUYZ,730.0
Sun Feb 11 00:00:00 CET 2018,B07FWXVWQ,842.0
Sun Feb 11 00:00:00 CET 2018,B07FWWSUR,661.0
Sun Feb 11 00:00:00 CET 2018,B07FWXTQV,661.0
Sun Feb 11 00:00:00 CET 2018,B07FWVZSX,661.0
Sun Feb 11 00:00:00 CET 2018,B07FWWZVR,495.0
Sun Feb 11 00:00:00 CET 2018,B07FWYWZW,661.0
Sun Feb 11 00:00:00 CET 2018,B07FWWTWW,661.0
Sun Feb 11 00:00:00 CET 2018,B07FWVXVV,661.0
Sun Feb 11 00:00:00 CET 2018,B07FWXAVX,661.0
Sun Feb 11 00:00:00 CET 2018,B07FWWVTY,470.0
Sun Feb 11 00:00:00 CET 2018,B07FWXWYR,661.0
Sun Feb 11 00:00:00 CET 2018,B07FWVBTT,695.0
Mon Feb 12 00:00:00 CET 2018,B07FWWBQQ,661.0
Mon Feb 12 00:00:00 CET 2018,B07FWYUSQ,661.0
Mon Feb 12 00:00:00 CET 2018,B07FWXUXY,680.0
Mon Feb 12 00:00:00 CET 2018,B07FWXSUS,1360.0
Mon Feb 12 00:00:00 CET 2018,B07FWYBYV,808.0
Mon Feb 12 00:00:00 CET 2018,B07FWYXTZ,1084.0
Mon Feb 12 00:00:00 CET 2018,B07FWYWTZ,661.0
Tue Feb 13 00:00:00 CET 2018,B07FWWAWY,1084.0
Tue Feb 13 00:00:00 CET 2018,B07FWXSZU,661.0
Tue Feb 13 00:00:00 CET 2018,B07FWYSVW,515.0
Wed Feb 14 00:00:00 CET 2018,B07FWWUZQ,650.0
Wed Feb 14 00:00:00 CET 2018,B07FWYYWT,1084.0
Wed Feb 14 00:00:00 CET 2018,B07FWWUQX,550.0
Thu Feb 15 00:00:00 CET 2018,B07FWYXRT,1322.0
Fri Feb 16 00:00:00 CET 2018,B07FWXVYY,510.0
Fri Feb 16 00:00:00 CET 2018,B07FWWZRX,808.0
Sat Feb 17 00:00:00 CET 2018,B07FWWYYT,842.0
Sun Feb 18 00:00:00 CET 2018,B07FWXUQX,510.0
Sun Feb 18 00:00:00 CET 2018,B07FWYWZR,685.0
Sun Feb 18 00:00:00 CET 2018,B07FWYYZT,685.0
Sun Feb 18 00:00:00 CET 2018,B07FWYZVZ,685.0
Sun Feb 18 00:00:00 CET 2018,B07FWYURS,685.0
Mon Feb 19 00:00:00 CET 2018,B07FWXSRS,730.0
Mon Feb 19 00:00:00 CET 2018,B07FWYVST,315.0
